Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity
69,124,88.5260663507109,-20,8.63617022472009,23.94335937,16.5621279748571,3478.04687472,Walking Dog Walking
62,91,71.2777777777778,-5,3.82636333299245,19.3359375,0.988324652555556,88.94921873,Walking Dog Walking
70,137,106.686375321337,-20,10.6163480515894,25.921875,15.2216243142268,5905.99023392,Walking Dog Walking
52,139,88.9095238095238,-55,10.4784227240983,23.765625,8.60994505014354,1799.47851548,Walking Dog Walking
57,122,91.9933333333333,10,4.42304604176254,21.0234375,1.14367187493333,171.55078124,Walking Dog Walking
70,147,117.019047619048,4,8.57679541484798,23.99414062,17.3722712307656,3630.80468723,Walking Dog Walking
63,132,97.8120805369127,-21,9.54072359540825,22.93359375,8.3216102128859,1239.91992172,Walking Dog Walking
58,131,78.1333333333333,-35,1.85548317980136,16.55859375,0.272849930278551,97.95312497,Walking Dog Walking
62,132,97.3428571428571,-32,7.76819353418385,24.6875,17.9085021670813,3742.87695292,Walking Dog Walking
64,137,103.3359375,30,9.96307440658657,23.37890625,7.52476008771654,955.64453114,Walking Dog Walking
62,151,116.893333333333,76,10.3970401892242,25.921875,16.1261422279688,7224.51171813,Walking Dog Walking
83,130,113.722222222222,29,3.09523523140866,20.51953125,17.3271158843333,3118.88085918,Walking Dog Walking
74,138,115.021505376344,18,4.8421349994566,20.3671875,16.3272381744865,3020.53906228,Walking Dog Walking
69,143,118.360902255639,6,7.86245148516386,20.109375,13.3429509937121,1761.26953117,Walking Dog Walking
102,138,121.766666666667,-13,5.98535246710816,20.984375,15.6248418890476,3281.2167967,Walking Dog Walking
75,133,117.266666666667,12,3.87371159524081,20.65234375,16.9267305329609,3029.8847654,Walking Dog Walking
94,127,110.75,5,5.49000441990351,20.04492187,15.2014825981061,2006.59570295,Walking Dog Walking
74,130,114.866666666667,25,5.93939778487917,20.43164062,14.8612844784358,2660.16992164,Walking Dog Walking
76,125,110.025,-18,7.01254231410785,21.09375,11.1739314927577,4011.4414059,Walking Dog Walking
67,143,116.28125,3,5.6495781175107,21.09375,16.1567715140314,3085.94335918,Walking Dog Walking
94,137,121.294444444444,10,7.26929028122589,20.71875,13.9446831585556,2510.04296854,Walking Dog Walking
81,125,115.104166666667,29,5.57605762262745,20.30273437,15.5478447327273,2223.34179678,Walking Dog Walking
76,132,112.684210526316,17,6.67943431903652,20.51953125,14.7773437489381,1669.83984363,Walking Dog Walking
96,125,109.783333333333,23,6.417750693474,18.22265625,3.44029947866667,206.41796872,Walking Dog Walking
91,140,116.43956043956,23,7.76048251821515,20.51953125,13.4351820047253,1222.60156243,Walking Dog Walking
42,128,97.1428571428571,67,7.26355355851274,25.8671875,3.73940972166667,336.54687495,Walking Dog Walking
85,129,98.8901098901099,37,5.60604561932201,21.09375,2.31700721142857,210.84765624,Walking Dog Walking
82,130,106.978021978022,35,8.89331688453126,20.71875,12.8214929597802,1166.75585934,Walking Dog Walking
86,128,107.033333333333,-10,7.486610812925,18.22460937,6.81302083233333,408.78124994,Walking Dog Walking
88,124,111,24,8.5337398078507,20.43164062,12.6884440098333,761.30664059,Walking Dog Walking
76,151,118.865546218487,-30,3.53043152850577,19.8125,17.1773371285593,2026.92578117,Walking Dog Walking
78,172,128.744680851064,61,7.84526873108434,22.90820312,16.581204927094,3880.00195294,Walking Dog Walking
58,157,114.262773722628,69,11.3358832707583,27.50976562,13.6647610621898,1872.07226552,Walking Dog Walking
