Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
52,110,78.75203252,19,6.165731201,20.04492187,3.334469672,1637.224609,Sedentary,1,0
54,114,69.96537678,-19,4.673209167,23.78320312,1.419754122,694.2597655,Sedentary,1,0
55,102,79.02807018,18,5.051241164,21.82421875,2.010820997,573.0839842,Sedentary,1,0
56,152,82.08943089,-61,6.39267935,24.140625,3.607952008,1767.896484,Sedentary,1,0
59,119,83.93495935,3,3.791739903,20.8828125,1.065106824,521.9023437,Sedentary,1,0
72,143,88.13123845,-1,3.027158302,21.1640625,0.658590133,355.6386718,Sedentary,1,0
52,106,77.85853659,21,3.088074621,25.8671875,0.614966954,251.5214843,Sedentary,1,0
66,162,101.9647495,23,3.505137954,19.72265625,0.967389723,519.4882811,Sedentary,1,0
67,131,81.37318841,33,2.884472467,18.40625,0.563956868,310.7402343,Sedentary,1,0
63,106,75.21808511,16,1.702204147,15.92578125,0.209741993,117.875,Sedentary,1,0
64,113,77.37037037,-2,2.543939696,19.5625,0.433956784,233.46875,Sedentary,1,0
65,101,73.29074074,5,0.785949837,12.890625,0.048089793,25.82421875,Sedentary,1,0
61,136,104.1925234,-17,6.589651944,35.29101562,2.919263518,1558.886719,Sedentary,1,0
68,134,101.5568182,-32,4.516750424,19.98828125,1.490483631,782.5039062,Sedentary,1,0
69,132,99.95708955,-9,4.788236371,22.2890625,1.807928078,965.4335936,Sedentary,1,0
50,136,102.5064695,20,6.08093495,23.4375,2.927919522,1575.220703,Sedentary,1,0
56,124,96.82003711,5,4.891046222,22.47460937,1.766042489,950.1308593,Sedentary,1,0
57,137,104.5111111,-28,5.430852414,22.265625,2.265643118,1221.181641,Sedentary,1,0
55,159,80.9757085,-70,4.706658992,19.625,1.483131377,363.3671875,Sedentary,1,0
62,123,97.49881235,-22,7.115829778,21.8671875,3.577155429,1498.828125,Sedentary,1,0
46,93,63.29357798,28,2.331366126,20.49609375,0.312043076,68.02539062,Sedentary,1,0
43,125,82.79569892,4,8.215254107,24.22265625,4.997675185,2783.705078,Sedentary,1,0
47,176,95.82278481,68,8.963483553,21.75195312,6.436703821,1010.5625,Sedentary,1,0
53,125,78.03971119,35,3.407701062,19.19335937,0.797286932,219.2539062,Sedentary,1,0
51,117,86.64444444,26,2.847517589,20.953125,0.532101548,286.8027344,Sedentary,1,0
58,128,89.56927711,-13,4.158127669,20.43945312,1.121506797,371.2187499,Sedentary,1,0
46,124,74.01298701,-32,1.883782888,17.75390625,0.268629248,144.2539062,Sedentary,1,0
66,103,81.04545455,25,0,0,0,0,Sedentary,1,0
53,124,89.22592593,-16,3.893168151,19.85546875,1.110449582,597.4218749,Sedentary,1,0
38,144,97.89239332,-3,9.509462468,34.2109375,7.558124563,4058.71289,Sedentary,1,0
62,116,85.18853974,0,2.684856441,19.72265625,0.502931499,271.0800781,Sedentary,1,0
60,129,77.63518519,24,2.080308333,17.921875,0.30411497,163.9179687,Sedentary,1,0
67,146,102.8502773,45,3.867423061,21.46289062,1.095942283,590.7128906,Sedentary,1,0
